"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"2530","10039-1548","530i","Other, see Narrative"," "," "," "," "," ",NA," ","Y","Hurricane Ida","No Injuries Reported"
"2531","10039-1548","530i","Other, see Narrative"," "," "," "," "," ",NA," ","Y","Hurricane Ida","No Injuries Reported"
"2532","13781-1547","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2533","13781-1546","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2534","13781-1545","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2535","13781-1544","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2536","13781-1543","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2537","13781-1542","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2538","13781-1541","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Minor"
"2539","13781-1538","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2540","13781-1537","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2541","502-1470","F-150","Daylight","Y"," "," "," "," ",NA," "," ","","Fatality"
"2542","1243-1528","Forester","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","Minor"
"2543","13781-1527","Model X","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2544","13781-1516","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2545","13781-1521","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2546","13781-1513","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2547","13781-1511","Model S","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2548","13781-1512","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2549","13781-1527","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2550","62-1524","TLX","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2551","62-1525","Civic","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2552","62-1526","CR-V","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2553","13781-1521","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2554","10039-1520","X5M","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2555","1306-1519","RAV4","Unknown"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2556","13781-1516","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2557","1243-1392","Forester","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2558","1243-1379","Crosstrek","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Minor"
"2559","13781-1513","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2560","13781-1512","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2561","13781-1511","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2562","13781-1439","Model S","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2563","13781-1408","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2564","13781-1407","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2565","13781-1406","Model S","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2566","13781-1405","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2567","13781-1404","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2568","669-1350","PALISADE","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
